strdrink,num_ingredients,total_ounces,cost,ounces_alcohol,weighted_abv,oz_alc_per_dollar
Gin Sour,5,5.08,2.08071186440678,1.0,0.19685039370078738,0.48060474739740305
Gin Squirt,6,8.17,2.5900610584717487,0.75,0.09179926560587516,0.28956846308578277
Gin Swizzle,5,6.6899999999999995,3.1885668939925784,1.008,0.15067264573991032,0.31612948183684747
Gin Toddy,4,2.48,1.6980000000000002,1.0,0.40322580645161293,0.5889281507656066
Gin Tonic,4,9.23,1.8220416666666668,0.675,0.07313109425785483,0.3704635367833703
Gin and Soda,3,7.25,1.2000610584717486,1.0,0.13793103448275862,0.8332909337742181
Girl From Ipanema,4,2.7,1.4740888417271532,0.4855,0.1798148148148148,0.32935599690935297
Gluehwein,6,44.660000000000004,2.970705577946957,4.7334000000000005,0.10598746081504702,1.5933588421344786
Godchild,3,3.0,1.453602648066371,0.55,0.18333333333333335,0.3783702518233767
Godfather,2,2.25,3.3,1.1624999999999999,0.5166666666666666,0.35227272727272724
